ID,NAMA,PEMINAT 2023,Description,for_who,Mata Kuliah,Matematika,Sains,Fisika,Sosiologi,Biologi,Kimia,Teknologi,Bisnis dan Ekonomi,Seni,Sastra dan Linguistik,Pendidikan,Lingkungan,Kesehatan,Geografi,Komunikasi,Sejarah dan Filsafat,Hukum
71,BAHASA DAN SASTRA INGGRIS,2990," jurusan Bahasa dan Sastra Inggris adalah program studi yang bertujuan untuk mengkaji dan mempelajari bahasa Inggris baik secara lisan maupun tulisan, serta karya sastra dalam bahasa Inggris. Jurusan ini membekali mahasiswanya dengan kemampuan berbahasa Inggris yang baik, kemampuan menganalisis dan menginterpretasikan karya sastra, serta kemampuan berkomunikasi secara efektif dalam berbagai konteks. Selain itu, mahasiswa juga akan belajar tentang sejarah, budaya, dan perkembangan bahasa Inggris serta sastra-sastra yang dihasilkan dalam bahasa tersebut. Jurusan Bahasa dan Sastra Inggris memiliki peran yang penting dalam memperkaya literatur dunia serta memperluas wawasan dan pemahaman tentang budaya-budaya yang berbeda. Keahlian yang diperoleh dari jurusan ini dapat membuka berbagai peluang karir di bidang pendidikan, media, penerjemahan, diplomatik, penerbitan, dan lain sebagainya.","Jurusan Bahasa dan Sastra Inggris adalah jurusan yang cocok untuk orang yang memiliki minat dan passion dalam bidang sastra, linguistik, dan sastra Inggris. Dengan mempelajari jurusan ini, mahasiswa akan mendalami pengetahuan tentang sastra, kebudayaan, sejarah, dan linguistik bahasa Inggris. Mereka akan belajar tentang karya-karya sastra klasik dan modern, serta memahami struktur bahasa yang kompleks. Jurusan ini juga akan membantu mahasiswa untuk meningkatkan kemampuan komunikasi, analisis, dan kreativitas mereka. Sehingga, bagi mereka yang mencintai karya sastra, bahasa, dan budaya Inggris, jurusan ini adalah pilihan yang tepat.","1. Bahasa Indonesia
2. Bahasa Jawa
3. Bahasa Inggris
4. Filsafat
5. Bahasa Arab
6. Sastra Indonesia
7. Sastra Jawa
8. Linguistik
9. Sastra Inggris
10. Bahasa Sunda",0.10,0.10,0.10,0.30,0.10,0.10,0.10,0.00,0.20,0.90,0.20,0.20,0.10,0.10,0.50,0.40,0.30
72,PENDIDIKAN KEPELATIHAN OLAHRAGA,2961,"Jurusan Kuliah Pendidikan Kepelatihan Olahraga merupakan program studi yang berkaitan dengan pendidikan olahraga dan kepelatihan, yang bertujuan untuk menciptakan para pelatih yang kompeten dalam bidang olahraga. Para mahasiswa jurusan ini akan mempelajari berbagai metode pelatihan, teknik pengajaran, manajemen olahraga, kesehatan atlet, serta berbagai aspek lain yang berkaitan dengan pembinaan dan pengembangan potensi atlet.

Selain itu, mahasiswa jurusan ini juga akan belajar mengenai teori olahraga, psikologi olahraga, nutrisi atlet, serta bagaimana mengelola tim dan program olahraga yang efektif. Selama perkuliahan, para mahasiswa juga akan diberikan kesempatan untuk melakukan praktik lapangan dengan bekerja langsung di lapangan olahraga, organisasi olahraga, atau pusat kepelatihan.

Dengan demikian, lulusan dari Jurusan Pendidikan Kepelatihan Olahraga diharapkan memiliki pengetahuan dan keterampilan yang komprehensif dalam bidang olahraga dan kepelatihan, sehingga mampu menjadi pelatih yang berkualitas, mengelola program olahraga yang sukses, serta memberikan kontribusi positif dalam dunia olahraga dan kebugaran.","Jurusan Pendidikan Kepelatihan Olahraga adalah jurusan yang ditujukan bagi individu yang memiliki minat dan bakat dalam dunia olahraga. Mereka yang memilih jurusan ini biasanya memiliki passion dan dedikasi tinggi terhadap olahraga, baik sebagai atlet maupun sebagai pelatih. Mereka senang bergerak aktif, memiliki keinginan untuk memahami lebih dalam tentang berbagai cabang olahraga, serta ingin berkontribusi dalam mengembangkan bakat dan potensi atlet di berbagai level. Dengan mengikuti pendidikan di jurusan ini, mereka akan memperoleh pengetahuan dan keterampilan yang dibutuhkan untuk menjadi pelatih yang kompeten dan dapat membawa prestasi bagi atlet yang dibimbingnya.","1. Teori dan Metodologi Latihan
2. Anatomi dan Fisiologi Manusia
3. Psikologi dalam Olahraga
4. Kesehatan dan Kebugaran
5. Manajemen Olahraga
6. Biomekanika
7. Nutrisi dalam Olahraga
8. Penyuluhan Kesehatan
9. Evaluasi dan Pengukuran Kinerja Atlet
10. Pendidikan Jasmani",0.20,0.20,0.20,0.20,0.60,0.20,0.10,0.40,0.10,0.10,0.40,0.10,0.60,0.20,0.20,0.20,0.10
73,EKONOMI SYARIAH,2883,"EKONOMI SYARIAH merupakan sebuah jurusan kuliah yang menawarkan pendalaman ilmu ekonomi yang berbasis prinsip-prinsip syariah Islam. Jurusan ini menekankan pada aspek keuangan yang sesuai dengan hukum Islam, yang meliputi larangan riba (bunga), judi, dan praktik bisnis yang tidak sesuai dengan prinsip keadilan.

Selama kuliah, mahasiswa akan mempelajari konsep-konsep ekonomi Islam, sistem keuangan yang berbasis syariah, hukum-hukum ekonomi Islam, serta praktek-praktek bisnis yang beretika dan sesuai dengan ajaran Islam. Selain itu, mahasiswa juga akan diajarkan cara mengelola keuangan secara sehat dan berkelanjutan sesuai dengan prinsip-prinsip Islam.

Lulusan jurusan EKONOMI SYARIAH memiliki peluang karir yang luas di berbagai sektor, seperti perbankan syariah, lembaga keuangan Islam, perusahaan investasi syariah, lembaga keuangan mikro syariah, konsultan keuangan syariah, serta lembaga-lembaga pemerintah yang bergerak dalam bidang ekonomi Islam. Dengan demikian, jurusan ini memberikan kesempatan kepada mahasiswa untuk berkontribusi dalam membangun perekonomian yang berlandaskan prinsip-prinsip Islam.","Jurusan ekonomi syariah adalah jurusan yang cocok bagi orang yang menyukai studi tentang prinsip-prinsip ekonomi Islam. Para mahasiswa jurusan ini akan belajar tentang sistem keuangan yang sesuai dengan hukum agama Islam, termasuk larangan riba dan perdagangan yang tidak jelas. Mereka juga akan mempelajari bagaimana prinsip-prinsip Islam dapat diterapkan dalam praktik ekonomi modern. Selain itu, mereka juga akan belajar tentang keuangan dan investasi yang berkelanjutan dan beretika. Dengan memilih jurusan ini, mahasiswa bisa mengembangkan pengetahuan dan keterampilan dalam bidang ekonomi yang sesuai dengan nilai-nilai agama Islam.","1. Prinsip Ekonomi Syariah
2. Akuntansi Syariah
3. Hukum Ekonomi Syariah
4. Manajemen Keuangan Syariah
5. Perbankan Syariah
6. Investasi Syariah
7. Ekonomi dan Perbankan Islam
8. Etika Bisnis Syariah
9. Manajemen Risiko Syariah
10. Ekonomi Islam",0.60,0.20,0.10,0.20,0.10,0.10,0.10,0.40,0.10,0.10,0.80,0.10,0.10,0.10,0.20,0.30,0.50
74,KESELAMATAN DAN KESEHATAN KERJA,2816,"Keselamatan dan Kesehatan Kerja adalah jurusan kuliah yang mempelajari tentang upaya untuk menciptakan lingkungan kerja yang aman dan sehat bagi para pekerja. Jurusan ini mencakup berbagai aspek, termasuk identifikasi dan evaluasi potensi risiko di tempat kerja, pengembangan program-program keselamatan dan kesehatan kerja, serta peningkatan kesadaran dan keterampilan dalam mengelola risiko di tempat kerja. Para mahasiswa jurusan ini akan mempelajari berbagai metode dan teknik yang dapat digunakan untuk mengurangi risiko cedera atau penyakit yang terkait dengan pekerjaan, serta merancang dan melaksanakan program-program keselamatan dan kesehatan yang efektif. Keselamatan dan Kesehatan Kerja adalah jurusan yang penting dalam memastikan kesejahteraan dan produktivitas para pekerja di berbagai industri dan sektor.","Jurusan ini adalah jurusan untuk orang yang menyukai keamanan dan kesehatan kerja. Mereka adalah individu yang peduli akan keselamatan dan kesehatan diri sendiri serta orang lain di lingkungan kerja. Mereka memiliki ketertarikan pada penelitian, analisis risiko, implementasi kebijakan keselamatan, dan pelatihan karyawan untuk mengurangi potensi bahaya dan cedera di tempat kerja. Mereka juga memiliki keterampilan dalam mengidentifikasi masalah kesehatan dan keselamatan yang ada serta merencanakan strategi penyelesaiannya. Jurusan ini membutuhkan dedikasi, keterampilan analitis, komunikasi yang baik, serta ketelitian dalam menangani isu-isu kesehatan dan keselamatan kerja.","1. Keselamatan dan Kesehatan Kerja Industri
2. Higiene Industri
3. Ergonomi Kerja
4. Manajemen Risiko K3
5. Penyuluhan Kesehatan Kerja
6. Audit Kesehatan dan Keselamatan Kerja
7. Teknik Pengendalian Bahaya
8. Perancangan Fasilitas Kerja
9. Manajemen Pengelolaan Limbah B3
10. Epidemiologi Kesehatan Kerja",0.30,0.20,0.20,0.30,0.30,0.40,0.10,0.20,0.00,0.00,0.20,0.30,0.90,0.20,0.20,0.10,0.30
75,MANAJEMEN BISNIS,2794,"Jurusan Manajemen Bisnis adalah salah satu jurusan yang berkaitan dengan pengelolaan bisnis dan strategi perusahaan. Mahasiswa jurusan ini akan mempelajari berbagai macam konsep dan teori mengenai manajemen, pemasaran, keuangan, dan sumber daya manusia yang dapat diterapkan dalam dunia bisnis. Mereka juga akan belajar mengenai analisis pasar, perencanaan bisnis, dan pengambilan keputusan strategis. Jurusan Manajemen Bisnis bertujuan untuk melahirkan lulusan yang mampu menjadi pemimpin bisnis yang kompeten dan inovatif dalam menghadapi tantangan pasar yang terus berubah.","Jurusan Manajemen Bisnis adalah jurusan yang cocok untuk orang yang menyukai dunia bisnis, manajemen, dan strategi perusahaan. Orang yang memilih jurusan ini biasanya memiliki minat dalam mengelola sumber daya perusahaan, merencanakan strategi bisnis, dan mengambil keputusan yang tepat untuk mencapai tujuan perusahaan. Mereka senang dengan tantangan dalam dunia bisnis, memiliki kemampuan analitis yang baik, serta mampu bekerja dalam tim. Jurusan ini juga memberikan pengetahuan yang luas mengenai berbagai aspek bisnis, seperti pemasaran, keuangan, sumber daya manusia, dan operasi. Dengan mengikuti jurusan ini, lulusan diharapkan dapat menjadi pemimpin yang sukses dalam dunia bisnis.","1. Manajemen Keuangan
2. Pemasaran
3. Manajemen Sumber Daya Manusia
4. Perilaku Organisasi
5. Bisnis Internasional
6. Manajemen Operasional
7. Strategi Bisnis
8. Etika Bisnis
9. Manajemen Pemasok
10. Riset Pasar",0.20,0.20,0.10,0.20,0.10,0.10,0.20,0.90,0.10,0.00,0.10,0.20,0.10,0.20,0.20,0.10,0.30
76,TATA BOGA,2765,"TATA BOGA adalah jurusan kuliah yang mempelajari segala hal yang berkaitan dengan pengolahan makanan, seperti teknik memasak, kreativitas dalam menyajikan hidangan, serta pengetahuan mengenai bahan makanan dan gizi. Para mahasiswa jurusan TATA BOGA akan belajar tentang berbagai macam teknik memasak dari berbagai belahan dunia, mengembangkan kreativitas dalam menciptakan menu dan presentasi hidangan yang menarik, serta memahami pentingnya kebersihan dan kesehatan dalam proses pengolahan makanan. Selain itu, mereka juga akan mempelajari manajemen dapur, tata cara penyajian, dan tren terbaru dalam dunia kuliner. Dengan pengetahuan dan keterampilan yang didapat dari jurusan TATA BOGA, mahasiswa diharapkan dapat sukses bekerja di industri kuliner, seperti restoran, hotel, kapal pesiar, dan industri makanan dan minuman lainnya.","Jurusan Tata Boga adalah jurusan yang cocok bagi orang yang memiliki minat dan bakat dalam memasak dan membuat makanan yang lezat. Mereka yang menyukai eksplorasi beragam bahan makanan, menggali berbagai resep, serta memiliki kreativitas dalam menciptakan sajian baru akan merasa senang dan betah dalam jurusan ini. Selain itu, mereka juga harus memiliki ketelitian, disiplin, dan kemampuan berpikir kritis dalam mengolah bahan makanan agar menghasilkan hidangan yang enak dan sehat. Jurusan ini juga membuka peluang karir di bidang kuliner, perhotelan, restoran, catering, dan juga sebagai konsultan makanan.","1. Pengantar Ilmu Tata Boga
2. Nutrisi dan Dietetik
3. Teknik Dasar Memasak
4. Higiene dan Sanitasi Makanan
5. Manajemen Dapur
6. Teknik Pengolahan Patiseri
7. Teknik Pengolahan Bakery
8. Seni Penyajian Makanan
9. Manajemen Resto dan Catering
10. Teknologi Pangan",0.10,0.10,0.10,0.10,0.10,0.10,0.20,0.40,0.70,0.10,0.10,0.10,0.40,0.20,0.20,0.10,0.10
77,TEKNIK PERTANIAN,2743,"Jurusan Teknik Pertanian merupakan salah satu jurusan yang mempelajari cara-cara meningkatkan produktivitas dan kualitas hasil pertanian melalui penerapan ilmu teknik dan teknologi. Mahasiswa jurusan ini akan belajar mengenai perencanaan, desain, dan implementasi berbagai sistem dan teknologi pertanian yang efisien dan berkelanjutan. Mereka juga akan mempelajari tentang pengelolaan sumber daya alam dan lingkungan yang berkelanjutan, serta cara-cara mengatasi tantangan-tantangan dalam pertanian modern seperti perubahan iklim dan keterbatasan sumber daya. Dengan demikian, lulusan jurusan Teknik Pertanian diharapkan mampu menjadi agen perubahan dalam meningkatkan kesejahteraan petani dan keberlanjutan sistem pertanian di Indonesia.","Jurusan Teknik Pertanian adalah jurusan yang cocok untuk orang yang menyukai bidang pertanian dan teknologi. Jurusan ini mempelajari tentang cara meningkatkan produktivitas dan efisiensi dalam budidaya tanaman, peternakan, serta pengelolaan sumber daya alam. Mahasiswa akan belajar tentang teknik-teknik inovatif dalam pertanian, mulai dari penggunaan teknologi pertanian modern hingga strategi pemupukan yang ramah lingkungan. Mereka juga akan mendalami ilmu tentang pengelolaan lahan dan air, serta pengendalian hama dan penyakit tanaman. Dengan memilih jurusan ini, mahasiswa akan memiliki kesempatan untuk berkontribusi dalam meningkatkan ketahanan pangan dan kesejahteraan petani di Indonesia.","1. Agribisnis
2. Agroekoteknologi
3. Klimatologi Pertanian
4. Penyuluhan Pertanian
5. Teknologi Pengolahan Hasil Pertanian
6. Sistem Informasi Pertanian
7. Pengendalian Hama dan Penyakit
8. Mekanisasi Pertanian
9. Pemuliaan Tanaman
10. Manajemen Lahan Pertanian",0.50,0.40,0.20,0.30,0.60,0.20,0.20,0.20,0.20,0.00,0.20,0.70,0.20,0.80,0.20,0.10,0.20
78,SAINS DATA,2597,"sains data merupakan jurusan kuliah yang berkaitan dengan pengolahan dan analisis data. Mahasiswa jurusan ini akan belajar mengenai pengumpulan, penyimpanan, serta analisis data dalam berbagai bentuk dan ukuran. Mereka juga akan mempelajari teknik-teknik statistik, machine learning, dan data mining untuk dapat menghasilkan informasi yang berharga dari data yang ada. Selain itu, mahasiswa jurusan sains data juga akan diajarkan cara mengelola dan mengoptimalkan database serta sistem informasi untuk memenuhi kebutuhan perusahaan atau organisasi. Dengan perkembangan teknologi informasi dan semakin banyaknya data yang dihasilkan setiap harinya, jurusan sains data saat ini sangat diminati dan menawarkan prospek karir yang cerah di bidang data science, business intelligence, dan analisis data.","Jurusan Sains Data adalah jurusan yang cocok untuk orang yang menyukai analisis data, statistik, dan pemrograman. Mereka yang tertarik dalam menggali informasi dari data, menganalisis pola-pola, dan membuat perkiraan berdasarkan data akan menemukan passion mereka dalam jurusan ini. Seseorang yang menyukai tantangan, problem-solving, dan memiliki ketertarikan dalam teknologi juga akan merasa cocok dengan jurusan ini. Sains Data menawarkan peluang karir yang menarik dalam berbagai industri, seperti teknologi informasi, keuangan, kesehatan, dan lainnya. Dengan perkembangan data-driven decision making, jurusan ini menjadi semakin relevan dan diminati oleh banyak orang.","1. Sains Data Dasar
2. Statistik
3. Database Management
4. Machine Learning
5. Big Data Analysis
6. Data Visualization
7. Data Mining
8. Predictive Analytics
9. Business Intelligence
10. Data Ethics and Privacy",0.80,0.30,0.20,0.10,0.20,0.10,0.50,0.60,0.20,0.10,0.10,0.20,0.10,0.20,0.30,0.20,0.30
79,ILMU SEJARAH,2520,"Jurusan Ilmu Sejarah mempelajari sejarah sebagai ilmu yang mencakup kajian tentang peristiwa, proses, dan tokoh-tokoh yang memberikan dampak terhadap perkembangan manusia dan masyarakat. Mahasiswa jurusan ini akan belajar mengenai berbagai periode sejarah dari masa purba hingga modern, serta memahami berbagai sumber sejarah seperti arsip, artefak, dan dokumen historis. Mereka juga akan diajarkan metode penelitian sejarah untuk mengembangkan kemampuan analisis dan interpretasi terhadap berbagai fenomena sejarah. Jurusan Ilmu Sejarah mempersiapkan mahasiswanya untuk menjadi ahli sejarah, peneliti sejarah, guru sejarah, kurator museum, atau pekerja di bidang kebudayaan dan pariwisata yang membutuhkan pemahaman mendalam tentang sejarah.","Jurusan Ilmu Sejarah adalah jurusan yang cocok untuk orang yang menyukai dan memiliki minat yang tinggi terhadap sejarah dan peristiwa masa lalu. Jurusan ini mempelajari perkembangan manusia, peradaban, kebudayaan, dan berbagai peristiwa penting yang telah terjadi dalam sejarah dunia. Mahasiswa jurusan ini akan belajar tentang metodologi penelitian sejarah, analisis sumber-sumber sejarah, dan interpretasi terhadap data-data historis. Mereka juga akan memahami hubungan antara masa lalu dengan masa kini, serta dampak dari peristiwa sejarah terhadap perkembangan masyarakat modern. Jurusan Ilmu Sejarah memberikan kesempatan untuk mengeksplorasi dan memahami akar dari berbagai isu dan konflik global yang terjadi saat ini.","1. Ilmu Arkeologi 
2. Ilmu Purbakala 
3. Sejarah Peradaban 
4. Sejarah Indonesia 
5. Sejarah Dunia 
6. Metode Sejarah 
7. Sejarah Sosial 
8. Sejarah Politik 
9. Sejarah Ekonomi 
10. Sejarah Kebudayaan",0.10,0.20,0.10,0.40,0.20,0.10,0.00,0.20,0.20,0.20,0.20,0.20,0.10,0.20,0.20,0.90,0.30
80,TEKNOLOGI INDUSTRI PERTANIAN,2477,"Teknologi Industri Pertanian merupakan salah satu jurusan kuliah yang mempelajari tentang penerapan ilmu dan teknologi dalam bidang pertanian. Jurusan ini menggabungkan keahlian dalam rekayasa teknologi dan ilmu pertanian untuk meningkatkan produktivitas, efisiensi, dan kualitas hasil pertanian. Mahasiswa jurusan ini akan belajar tentang teknologi dan alat mesin pertanian, sistem pengendalian kualitas, proses pengolahan produk pertanian, manajemen sumber daya pertanian, dan berbagai aspek lain yang terkait. Lulusan dari jurusan ini diharapkan mampu berkontribusi dalam meningkatkan hasil pertanian secara berkelanjutan dan berdaya saing tinggi.","Jurusan Teknologi Industri Pertanian adalah jurusan untuk orang-orang yang menyukai teknologi yang berkaitan dengan pertanian. Mereka akan belajar tentang penggunaan teknologi dalam meningkatkan produksi pertanian, mengoptimalkan proses pertanian, dan memperkenalkan inovasi di sektor pertanian. Mereka juga akan belajar tentang pengelolaan sumber daya alam, pengembangan sistem pertanian yang berkelanjutan, dan penerapan teknologi canggih seperti Internet of Things (IoT) dan drone. Orang-orang yang memilih jurusan ini biasanya memiliki minat dalam pertanian, teknologi, dan inovasi, serta ingin berkontribusi dalam meningkatkan kesejahteraan petani dan menciptakan pertanian yang lebih efisien.","1. Agribisnis
2. Agroekoteknologi
3. Klimatologi Pertanian
4. Penyuluhan Pertanian
5. Teknologi Pengolahan Hasil Pertanian
6. Sistem Informasi Pertanian
7. Pengendalian Hama dan Penyakit
8. Mekanisasi Pertanian
9. Pemuliaan Tanaman
10. Manajemen Lahan Pertanian",0.50,0.40,0.20,0.30,0.60,0.20,0.20,0.20,0.20,0.00,0.20,0.70,0.20,0.80,0.20,0.10,0.20
81,PENDIDIKAN SOSIOLOGI,2471,"Jurusan Pendidikan Sosiologi merupakan program studi yang mengkaji tentang pendidikan dari sudut pandang sosiologi. Para mahasiswa dalam jurusan ini akan mempelajari berbagai teori dan konsep sosiologi yang berkaitan dengan proses pembelajaran dan pendidikan dalam masyarakat. Mereka juga akan mempelajari tentang peran dan dampak faktor-faktor sosial seperti budaya, struktur sosial, dan kekuasaan dalam konteks sistem pendidikan.

Selain itu, mahasiswa jurusan Pendidikan Sosiologi juga akan diajarkan tentang metode-metode penelitian sosiologi yang dapat digunakan dalam konteks pendidikan. Mereka akan belajar bagaimana melakukan analisis sosial terhadap fenomena-fenomena pendidikan, serta merancang dan mengimplementasikan program-program pengajaran yang sesuai dengan prinsip-prinsip sosiologi.

Sebagai lulusan jurusan Pendidikan Sosiologi, para mahasiswa diharapkan memiliki pemahaman yang mendalam tentang hubungan antara pendidikan dan masyarakat, serta mampu mengembangkan solusi-solusi inovatif dalam meningkatkan kualitas pendidikan di berbagai tingkatan. Mereka juga diharapkan mampu menjadi agen perubahan yang bertanggung jawab dalam menciptakan sistem pendidikan yang lebih inklusif dan berkeadilan. Sosialisasi merupakan salah satu fokus utama dari jurusan ini, yang bertujuan untuk memahami dan memperbaiki ketidakadilan sosial dalam sistem sekolah.","Jurusan Pendidikan Sosiologi cocok untuk orang-orang yang menyukai mempelajari interaksi sosial, struktur masyarakat, dan fenomena sosial. Mereka yang tertarik dengan peran individu dalam masyarakat, pola-pola perilaku manusia, dan perubahan sosial akan menemukan ilmu tersebut menarik. Jurusan ini mempelajari berbagai teori sosiologi untuk memahami dinamika sosial yang ada di masyarakat. Selain itu, pelajar jurusan ini juga akan belajar tentang metodologi penelitian untuk mengumpulkan data yang relevan dalam analisis sosial. Dengan demikian, jurusan ini cocok untuk orang yang ingin mendalami kajian sosial dengan pendekatan ilmiah dan kritis.","1. Teori Sosiologi
2. Metode Penelitian Sosial
3. Sosiologi Keluarga
4. Sosiologi Pendidikan
5. Sosiologi Industri
6. Sosiologi Politik
7. Sosiologi Agama
8. Sosiologi Kriminal
9. Sosiologi Urban
10. Sosiologi Lingkungan",0.20,0.30,0.20,0.90,0.20,0.20,0.20,0.40,0.20,0.20,0.50,0.40,0.20,0.40,0.20,0.30,0.30
